timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 01:57:33.556, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:34.556, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:35.556, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:36.556, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:37.556, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:38.556, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:39.556, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:40.557, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:41.557, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:42.557, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:43.557, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:44.557, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:45.557, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:46.558, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:47.559, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:48.560, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:49.560, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:50.560, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:51.560, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:52.560, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:53.560, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:54.561, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:55.561, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:56.561, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:57.561, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:58.561, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:57:59.561, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:00.562, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:01.562, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:02.562, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:03.562, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:04.562, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:05.562, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:06.563, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:07.563, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:08.563, 0, 0 %, 0 %, 1 MiB, 46068 MiB
